ID,Language,Setting,Label
83910,EN,zero_shot,1
14692,EN,zero_shot,1
3378,EN,zero_shot,1
97296,EN,zero_shot,1
36148,EN,zero_shot,1
32198,EN,zero_shot,1
29356,EN,zero_shot,1
18389,EN,zero_shot,1
96630,EN,zero_shot,1
13534,EN,zero_shot,1
88796,EN,zero_shot,1
97180,EN,zero_shot,1
71582,EN,zero_shot,1
11495,EN,zero_shot,0
77497,EN,zero_shot,0
55402,EN,zero_shot,0
4265,EN,zero_shot,0
4005,EN,zero_shot,0
12380,EN,zero_shot,0
28757,EN,zero_shot,0
30595,EN,zero_shot,0
66337,EN,zero_shot,0
79007,EN,zero_shot,0
3578,EN,zero_shot,0
73663,EN,zero_shot,0
26162,EN,zero_shot,0
93950,EN,zero_shot,1
85281,EN,zero_shot,1
92024,EN,zero_shot,1
71526,EN,zero_shot,1
55087,EN,zero_shot,1
28993,EN,zero_shot,0
58978,EN,zero_shot,1
77336,EN,zero_shot,1
36563,EN,zero_shot,1
951,EN,zero_shot,1
99558,EN,zero_shot,1
21026,EN,zero_shot,1
91606,EN,zero_shot,1
55492,EN,zero_shot,1
44697,EN,zero_shot,1
36521,EN,zero_shot,1
20479,EN,zero_shot,1
28321,EN,zero_shot,0
44218,EN,zero_shot,0
13496,EN,zero_shot,0
12256,EN,zero_shot,0
49897,EN,zero_shot,0
12776,EN,zero_shot,0
47152,EN,zero_shot,0
45182,EN,zero_shot,0
79231,EN,zero_shot,0
34771,EN,zero_shot,0
5795,EN,zero_shot,0
95747,EN,zero_shot,1
60317,EN,zero_shot,1
70384,EN,zero_shot,1
16461,EN,zero_shot,1
49715,EN,zero_shot,0
10428,EN,zero_shot,0
72457,EN,zero_shot,0
38527,EN,zero_shot,0
82497,EN,zero_shot,0
81170,EN,zero_shot,0
47500,EN,zero_shot,0
75774,EN,zero_shot,0
25303,EN,zero_shot,0
92449,EN,zero_shot,0
9216,EN,zero_shot,0
6106,EN,zero_shot,0
86773,EN,zero_shot,1
29971,EN,zero_shot,1
38030,EN,zero_shot,1
10558,EN,zero_shot,1
30612,EN,zero_shot,1
13338,EN,zero_shot,1
49923,EN,zero_shot,1
36534,EN,zero_shot,1
59529,EN,zero_shot,1
83420,EN,zero_shot,1
47919,EN,zero_shot,1
21419,EN,zero_shot,1
48620,EN,zero_shot,1
46666,EN,zero_shot,1
27560,EN,zero_shot,1
87941,EN,zero_shot,1
35093,EN,zero_shot,1
